Company,Year,4th Quarter Shipments
HP,2010,17554181
Lenovo,2010,10516772
Dell,2010,10796317
Acer,2010,12043606
Asus,2010,5180913
Other,2010,37358786
HP,2011,14712266
Lenovo,2011,12931136
Dell,2011,11633880
Acer,2011,9823214
Asus,2011,6243118
Other,2011,36827666
